(libcudf-tutorial) jazracherif@spark-d5e1:~/code/nvidia/libcudf_tutorial$ nsys stats --report nvtx_pushpop_sum reports/libcudf_groupby.nsys-rep
Generating SQLite file reports/libcudf_groupby.sqlite from reports/libcudf_groupby.nsys-rep
Processing [reports/libcudf_groupby.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/nvtx_pushpop_sum.py]... 

 ** NVTX Push/Pop Range Summary (nvtx_pushpop_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)     Max (ns)    StdDev (ns)                                                 Range                                                
 --------  ---------------  ---------  -------------  -------------  -----------  -----------  -----------  ----------------------------------------------------------------------------------------------------
     33.3      661,557,680          1  661,557,680.0  661,557,680.0  661,557,680  661,557,680          0.0  libcudf:read_parquet                                                                                
     30.5      606,777,456          1  606,777,456.0  606,777,456.0  606,777,456  606,777,456          0.0  libkvikio:kvikio::CompatModeManager::CompatModeManager(const std::string&, const std::string&, mode…
     30.5      606,309,136          1  606,309,136.0  606,309,136.0  606,309,136  606,309,136          0.0  libkvikio:std::optional<CUfileError> kvikio::CUFileHandleWrapper::register_handle(int)              
      0.8       16,098,672          1   16,098,672.0   16,098,672.0   16,098,672   16,098,672          0.0  libcudf:aggregate                                                                                   
      0.4        7,330,416          1    7,330,416.0    7,330,416.0    7,330,416    7,330,416          0.0  libcudf:decode_page_headers                                                                         
      0.3        6,497,344          1    6,497,344.0    6,497,344.0    6,497,344    6,497,344          0.0  libcudf:read_chunk_internal                                                                         
      0.3        6,028,704          1    6,028,704.0    6,028,704.0    6,028,704    6,028,704          0.0  libcudf:decompress_page_data                                                                        
      0.3        6,022,112          4    1,505,528.0      151,688.0      120,496    5,598,240  2,728,516.3  CCCL:thrust::exclusive_scan                                                                         
      0.3        5,690,784          1    5,690,784.0    5,690,784.0    5,690,784    5,690,784          0.0  libcudf:decode_page_data                                                                            
      0.3        5,548,528          1    5,548,528.0    5,548,528.0    5,548,528    5,548,528          0.0  libcudf:decompress                                                                                  
      0.2        4,143,536          1    4,143,536.0    4,143,536.0    4,143,536    4,143,536          0.0  libcudf:sort_pages                                                                                  
