(libcudf-tutorial) jazracherif@spark-d5e1:~/code/nvidia/libcudf_tutorial$ nsys stats --report nvtx_pushpop_trace reports/libcudf_groupby.nsys-rep

NOTICE: Existing SQLite export found: reports/libcudf_groupby.sqlite
        It is assumed file was previously exported from: reports/libcudf_groupby.nsys-rep
        Consider using --force-export=true if needed.

Processing [reports/libcudf_groupby.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/nvtx_pushpop_trace.py]... 

 ** NVTX Push/Pop Range Trace (nvtx_pushpop_trace):

 Start (ns)    End (ns)    Duration (ns)  DurChild (ns)  DurNonChild (ns)                                                  Name                                                   PID     TID    Lvl  NumChild  RangeId  ParentId     RangeStack                                                    NameTree                                              
 -----------  -----------  -------------  -------------  ----------------  ----------------------------------------------------------------------------------------------------  ------  ------  ---  --------  -------  --------  -----------------  ----------------------------------------------------------------------------------------------------
 253,213,360  914,771,040    661,557,680    641,009,488        20,548,192  libcudf:read_parquet                                                                                  14,875  14,875    0        29        2            :2                 libcudf:read_parquet                                                                                
 253,334,400  253,339,232          4,832              0             4,832  libkvikio:static unsigned int kvikio::defaults::get_num_threads_from_env()                            14,875  14,875    1         0        4         2  :2:4               --libkvikio:static unsigned int kvikio::defaults::get_num_threads_from_env()                        
 253,403,600  253,409,664          6,064          2,464             3,600  libkvikio:kvikio::defaults::defaults()                                                                14,875  14,875    1         5        5         2  :2:5               --libkvikio:kvikio::defaults::defaults()                                                            
 253,404,448  253,404,720            272              0               272  libkvikio:T kvikio::getenv_or(std::string_view, T) [with T = CompatMode; std::string_view = std::ba…  14,875  14,875    2         0        6         5  :2:5:6             ----libkvikio:T kvikio::getenv_or(std::string_view, T) [with T = CompatMode; std::string_view = std…
 253,406,160  253,406,288            128              0               128  libkvikio:T kvikio::getenv_or(std::string_view, T) [with T = std::vector<int>; std::string_view = s…  14,875  14,875    2         0        7         5  :2:5:7             ----libkvikio:T kvikio::getenv_or(std::string_view, T) [with T = std::vector<int>; std::string_view…
 253,407,152  253,408,816          1,664              0             1,664  libkvikio:T kvikio::getenv_or(std::string_view, T) [with T = bool; std::string_view = std::basic_st…  14,875  14,875    2         0        8         5  :2:5:8             ----libkvikio:T kvikio::getenv_or(std::string_view, T) [with T = bool; std::string_view = std::basi…
 253,409,040  253,409,344            304              0               304  libkvikio:T kvikio::getenv_or(std::string_view, T) [with T = bool; std::string_view = std::basic_st…  14,875  14,875    2         0        9         5  :2:5:9             ----libkvikio:T kvikio::getenv_or(std::string_view, T) [with T = bool; std::string_view = std::basi…
 253,409,520  253,409,616             96              0                96  libkvikio:T kvikio::getenv_or(std::string_view, T) [with T = bool; std::string_view = std::basic_st…  14,875  14,875    2         0       10         5  :2:5:10            ----libkvikio:T kvikio::getenv_or(std::string_view, T) [with T = bool; std::string_view = std::basi…
 253,411,008  860,188,464    606,777,456    606,315,872           461,584  libkvikio:kvikio::CompatModeManager::CompatModeManager(const std::string&, const std::string&, mode…  14,875  14,875    1         3       11         2  :2:11              --libkvikio:kvikio::CompatModeManager::CompatModeManager(const std::string&, const std::string&, mo…
 253,414,256  253,419,024          4,768          3,584             1,184  libkvikio:void kvikio::FileWrapper::open(const std::string&, const std::string&, bool, mode_t)        14,875  14,875    2         1       12        11  :2:11:12           ----libkvikio:void kvikio::FileWrapper::open(const std::string&, const std::string&, bool, mode_t)  
 253,415,392  253,418,976          3,584             96             3,488  libkvikio:int kvikio::open_fd(const std::string&, const std::string&, bool, mode_t)                   14,875  14,875    3         1       13        12  :2:11:12:13        ------libkvikio:int kvikio::open_fd(const std::string&, const std::string&, bool, mode_t)           
 253,416,096  253,416,192             96              0                96  libkvikio:int kvikio::open_fd_parse_flags(const std::string&, bool)                                   14,875  14,875    4         0       14        13  :2:11:12:13:14     --------libkvikio:int kvikio::open_fd_parse_flags(const std::string&, bool)                         
 253,863,984  253,865,952          1,968          1,696               272  libkvikio:void kvikio::FileWrapper::open(const std::string&, const std::string&, bool, mode_t)        14,875  14,875    2         1       15        11  :2:11:15           ----libkvikio:void kvikio::FileWrapper::open(const std::string&, const std::string&, bool, mode_t)  
 253,864,096  253,865,792          1,696             80             1,616  libkvikio:int kvikio::open_fd(const std::string&, const std::string&, bool, mode_t)                   14,875  14,875    3         1       16        15  :2:11:15:16        ------libkvikio:int kvikio::open_fd(const std::string&, const std::string&, bool, mode_t)           
 253,864,176  253,864,256             80              0                80  libkvikio:int kvikio::open_fd_parse_flags(const std::string&, bool)                                   14,875  14,875    4         0       17        16  :2:11:15:16:17     --------libkvikio:int kvikio::open_fd_parse_flags(const std::string&, bool)                         
 253,868,080  860,177,216    606,309,136              0       606,309,136  libkvikio:std::optional<CUfileError> kvikio::CUFileHandleWrapper::register_handle(int)                14,875  14,875    2         0       18        11  :2:11:18           ----libkvikio:std::optional<CUfileError> kvikio::CUFileHandleWrapper::register_handle(int)          
 860,196,192  860,198,576          2,384            688             1,696  libkvikio:kvikio::FileHandle::FileHandle(const std::string&, const std::string&, mode_t, kvikio::Co…  14,875  14,875    1         1       19         2  :2:19              --libkvikio:kvikio::FileHandle::FileHandle(const std::string&, const std::string&, mode_t, kvikio::…
 860,197,696  860,198,384            688              0               688  libkvikio:kvikio::ThreadPool* kvikio::{anonymous}::get_thread_pool_per_block_device(const std::stri…  14,875  14,875    2         0       20        19  :2:19:20           ----libkvikio:kvikio::ThreadPool* kvikio::{anonymous}::get_thread_pool_per_block_device(const std::…
 860,238,928  860,239,376            448              0               448  libkvikio:T kvikio::getenv_or(std::string_view, T) [with T = CompatMode; std::string_view = std::ba…  14,875  14,875    1         0       21         2  :2:21              --libkvikio:T kvikio::getenv_or(std::string_view, T) [with T = CompatMode; std::string_view = std::…
 860,768,448  860,769,984          1,536            288             1,248  libkvikio:kvikio::FileWrapper::~FileWrapper()                                                         14,875  14,875    1         1       22         2  :2:22              --libkvikio:kvikio::FileWrapper::~FileWrapper()                                                     
 860,769,520  860,769,808            288              0               288  libkvikio:void kvikio::FileWrapper::close()                                                           14,875  14,875    2         0       23        22  :2:22:23           ----libkvikio:void kvikio::FileWrapper::close()                                                     
 860,770,128  860,770,656            528            160               368  libkvikio:kvikio::FileWrapper::~FileWrapper()                                                         14,875  14,875    1         1       24         2  :2:24              --libkvikio:kvikio::FileWrapper::~FileWrapper()                                                     
 860,770,320  860,770,480            160              0               160  libkvikio:void kvikio::FileWrapper::close()                                                           14,875  14,875    2         0       25        24  :2:24:25           ----libkvikio:void kvikio::FileWrapper::close()                                                     
 860,771,872  860,772,064            192              0               192  libkvikio:void kvikio::CUFileHandleWrapper::unregister_handle()                                       14,875  14,875    1         0       26         2  :2:26              --libkvikio:void kvikio::CUFileHandleWrapper::unregister_handle()                                   
 860,773,136  860,774,432          1,296            288             1,008  libkvikio:kvikio::FileHandle::~FileHandle()                                                           14,875  14,875    1         1       27         2  :2:27              --libkvikio:kvikio::FileHandle::~FileHandle()                                                       
 860,773,984  860,774,272            288              0               288  libkvikio:void kvikio::FileHandle::close()                                                            14,875  14,875    2         0       28        27  :2:27:28           ----libkvikio:void kvikio::FileHandle::close()                                                      
 860,774,592  860,774,768            176              0               176  libkvikio:void kvikio::CUFileHandleWrapper::unregister_handle()                                       14,875  14,875    1         0       29         2  :2:29              --libkvikio:void kvikio::CUFileHandleWrapper::unregister_handle()                                   
 860,774,928  860,775,392            464            160               304  libkvikio:kvikio::FileWrapper::~FileWrapper()                                                         14,875  14,875    1         1       30         2  :2:30              --libkvikio:kvikio::FileWrapper::~FileWrapper()                                                     
 860,775,088  860,775,248            160              0               160  libkvikio:void kvikio::FileWrapper::close()                                                           14,875  14,875    2         0       31        30  :2:30:31           ----libkvikio:void kvikio::FileWrapper::close()                                                     
 860,775,568  860,776,000            432             64               368  libkvikio:kvikio::FileWrapper::~FileWrapper()                                                         14,875  14,875    1         1       32         2  :2:32              --libkvikio:kvikio::FileWrapper::~FileWrapper()                                                     
 860,775,728  860,775,792             64              0                64  libkvikio:void kvikio::FileWrapper::close()                                                           14,875  14,875    2         0       33        32  :2:32:33           ----libkvikio:void kvikio::FileWrapper::close()                                                     
 878,221,936  878,224,864          2,928              0             2,928  libkvikio:std::size_t kvikio::get_file_size(int)                                                      14,875  14,875    1         0       34         2  :2:34              --libkvikio:std::size_t kvikio::get_file_size(int)                                                  
 878,228,880  878,376,208        147,328              0           147,328  libkvikio:std::future<long unsigned int> kvikio::FileHandle::pread(void*, std::size_t, std::size_t,…  14,875  14,875    1         0       35         2  :2:35              --libkvikio:std::future<long unsigned int> kvikio::FileHandle::pread(void*, std::size_t, std::size_…
 878,543,600  878,556,272         12,672          7,680             4,992  libkvikio:task                                                                                        14,875  14,918    0         1       36            :36                libkvikio:task                                                                                      
 878,548,368  878,556,048          7,680              0             7,680  libkvikio:std::size_t kvikio::detail::posix_host_read(int, void*, std::size_t, std::size_t, int) [w…  14,875  14,918    1         0       37        36  :36:37             --libkvikio:std::size_t kvikio::detail::posix_host_read(int, void*, std::size_t, std::size_t, int) …
 878,658,512  878,679,456         20,944              0            20,944  libkvikio:std::future<long unsigned int> kvikio::FileHandle::pread(void*, std::size_t, std::size_t,…  14,875  14,875    1         0       38         2  :2:38              --libkvikio:std::future<long unsigned int> kvikio::FileHandle::pread(void*, std::size_t, std::size_…
 878,827,344  878,828,624          1,280          1,072               208  libkvikio:task                                                                                        14,875  14,919    0         1       39            :39                libkvikio:task                                                                                      
 878,827,472  878,828,544          1,072              0             1,072  libkvikio:std::size_t kvikio::detail::posix_host_read(int, void*, std::size_t, std::size_t, int) [w…  14,875  14,919    1         0       40        39  :39:40             --libkvikio:std::size_t kvikio::detail::posix_host_read(int, void*, std::size_t, std::size_t, int) …
 878,928,352  878,948,544         20,192              0            20,192  libkvikio:std::future<long unsigned int> kvikio::FileHandle::pread(void*, std::size_t, std::size_t,…  14,875  14,875    1         0       41         2  :2:41              --libkvikio:std::future<long unsigned int> kvikio::FileHandle::pread(void*, std::size_t, std::size_…
 879,098,432  879,099,872          1,440          1,296               144  libkvikio:task                                                                                        14,875  14,921    0         1       42            :42                libkvikio:task                                                                                      
 879,098,512  879,099,808          1,296              0             1,296  libkvikio:std::size_t kvikio::detail::posix_host_read(int, void*, std::size_t, std::size_t, int) [w…  14,875  14,921    1         0       43        42  :42:43             --libkvikio:std::size_t kvikio::detail::posix_host_read(int, void*, std::size_t, std::size_t, int) …
 879,632,032  883,431,232      3,799,200      3,780,416            18,784  libkvikio:std::future<long unsigned int> kvikio::FileHandle::pread(void*, std::size_t, std::size_t,…  14,875  14,875    1         1       45         2  :2:45              --libkvikio:std::future<long unsigned int> kvikio::FileHandle::pread(void*, std::size_t, std::size_…
 879,646,736  883,427,152      3,780,416      3,596,304           184,112  libkvikio:std::size_t kvikio::detail::posix_device_read(int, const void*, std::size_t, std::size_t,…  14,875  14,875    2         6       46        45  :2:45:46           ----libkvikio:std::size_t kvikio::detail::posix_device_read(int, const void*, std::size_t, std::siz…
 879,649,056  879,650,032            976              0               976  libkvikio:static kvikio::BounceBufferPool<Allocator>& kvikio::BounceBufferPool<Allocator>::instance…  14,875  14,875    3         0       47        46  :2:45:46:47        ------libkvikio:static kvikio::BounceBufferPool<Allocator>& kvikio::BounceBufferPool<Allocator>::in…
 879,651,072  883,098,272      3,447,200            208         3,446,992  libkvikio:kvikio::BounceBufferPool<Allocator>::Buffer kvikio::BounceBufferPool<Allocator>::get() [w…  14,875  14,875    3         1       48        46  :2:45:46:48        ------libkvikio:kvikio::BounceBufferPool<Allocator>::Buffer kvikio::BounceBufferPool<Allocator>::ge…
 879,651,936  879,652,144            208              0               208  libkvikio:void kvikio::BounceBufferPool<Allocator>::_ensure_buffer_size() [with Allocator = kvikio:…  14,875  14,875    4         0       49        48  :2:45:46:48:49     --------libkvikio:void kvikio::BounceBufferPool<Allocator>::_ensure_buffer_size() [with Allocator =…
 883,104,000  883,249,632        145,632        141,600             4,032  libkvikio:static CUstream_st* kvikio::detail::StreamsByThread::get()                                  14,875  14,875    3         1       50        46  :2:45:46:50        ------libkvikio:static CUstream_st* kvikio::detail::StreamsByThread::get()                          
 883,107,824  883,249,424        141,600              0           141,600  libkvikio:static CUstream_st* kvikio::detail::StreamsByThread::get(CUcontext, std::thread::id)        14,875  14,875    4         0       51        50  :2:45:46:50:51     --------libkvikio:static CUstream_st* kvikio::detail::StreamsByThread::get(CUcontext, std::thread::…
 883,254,448  883,254,704            256              0               256  libkvikio:void* kvikio::BounceBufferPool<Allocator>::Buffer::get() [with Allocator = kvikio::CudaPi…  14,875  14,875    3         0       52        46  :2:45:46:52        ------libkvikio:void* kvikio::BounceBufferPool<Allocator>::Buffer::get() [with Allocator = kvikio::…
 883,261,856  883,262,032            176              0               176  libkvikio:void* kvikio::BounceBufferPool<Allocator>::Buffer::get() [with Allocator = kvikio::CudaPi…  14,875  14,875    3         0       53        46  :2:45:46:53        ------libkvikio:void* kvikio::BounceBufferPool<Allocator>::Buffer::get() [with Allocator = kvikio::…
 883,424,800  883,426,864          2,064            960             1,104  libkvikio:kvikio::BounceBufferPool<Allocator>::Buffer::~Buffer() [with Allocator = kvikio::CudaPinn…  14,875  14,875    3         1       54        46  :2:45:46:54        ------libkvikio:kvikio::BounceBufferPool<Allocator>::Buffer::~Buffer() [with Allocator = kvikio::Cu…
 883,425,744  883,426,704            960            176               784  libkvikio:void kvikio::BounceBufferPool<Allocator>::put(void*, std::size_t) [with Allocator = kviki…  14,875  14,875    4         1       55        54  :2:45:46:54:55     --------libkvikio:void kvikio::BounceBufferPool<Allocator>::put(void*, std::size_t) [with Allocator…
 883,426,272  883,426,448            176              0               176  libkvikio:void kvikio::BounceBufferPool<Allocator>::_ensure_buffer_size() [with Allocator = kvikio:…  14,875  14,875    5         0       56        55  :2:45:46:54:55:56  ----------libkvikio:void kvikio::BounceBufferPool<Allocator>::_ensure_buffer_size() [with Allocator…
 884,267,136  891,597,552      7,330,416      6,653,088           677,328  libcudf:decode_page_headers                                                                           14,875  14,875    1         7       57         2  :2:57              --libcudf:decode_page_headers                                                                       
 884,274,832  886,461,904      2,187,072              0         2,187,072  CCCL:thrust::transform_exclusive_scan                                                                 14,875  14,875    2         0       58        57  :2:57:58           ----CCCL:thrust::transform_exclusive_scan                                                           
 886,477,296  886,490,592         13,296         11,584             1,712  CCCL:thrust::for_each                                                                                 14,875  14,875    2         1       59        57  :2:57:59           ----CCCL:thrust::for_each                                                                           
 886,478,592  886,490,176         11,584              0            11,584  CCCL:cub::DeviceFor::ForEachN                                                                         14,875  14,875    3         0       60        59  :2:57:59:60        ------CCCL:cub::DeviceFor::ForEachN                                                                 
 886,651,984  886,776,288        124,304              0           124,304  CCCL:cub::DeviceReduce::Reduce                                                                        14,875  14,875    2         0       61        57  :2:57:61           ----CCCL:cub::DeviceReduce::Reduce                                                                  
 886,951,072  891,094,608      4,143,536      3,978,816           164,720  libcudf:sort_pages                                                                                    14,875  14,875    2         4       62        57  :2:57:62           ----libcudf:sort_pages                                                                              
 886,955,696  886,969,744         14,048              0            14,048  CCCL:thrust::transform                                                                                14,875  14,875    3         0       63        62  :2:57:62:63        ------CCCL:thrust::transform                                                                        
